x,Re1000,Re2500,Re5000
1,0,0,0
0.985,-0.0973,-0.1675,-0.2441
0.97,-0.2173,-0.3725,-0.5019
0.955,-0.34,-0.5192,-0.57
0.94,-0.4417,-0.5603,-0.5139
0.925,-0.5052,-0.5268,-0.4595
0.91,-0.5263,-0.4741,-0.4318
0.895,-0.5132,-0.4321,-0.4147
0.88,-0.4803,-0.4042,-0.3982
0.865,-0.4407,-0.3843,-0.3806
0.85,-0.4028,-0.3671,-0.3624
0.5,0.0258,0.016,0.0117
0.15,0.3756,0.3918,0.3699
0.135,0.3705,0.4078,0.3878
0.12,0.3605,0.4187,0.407
0.105,0.346,0.4217,0.426
0.09,0.3273,0.4142,0.4403
0.075,0.3041,0.395,0.4426
0.06,0.2746,0.3649,0.4258
0.045,0.2349,0.3238,0.3868
0.03,0.1792,0.2633,0.3263
0.015,0.1019,0.1607,0.216
0,0,0,0
