y,Re100,Re1000,Re5000
1,1,1,1
0.9766,0.84123,0.65928,0.48223
0.9688,0.78871,0.57492,0.4612
0.9609,0.73722,0.51117,0.45992
0.9531,0.68717,0.46604,0.46036
0.8516,0.23151,0.33304,0.33556
0.7344,0.00332,0.18719,0.20087
0.6172,-0.13641,0.05702,0.08183
0.5,-0.20581,-0.0608,-0.03039
0.4531,-0.2109,-0.10648,-0.07404
0.2813,-0.15662,-0.27805,-0.22855
0.1719,-0.1015,-0.38289,-0.3305
0.1016,-0.06434,-0.2973,-0.40435
0.0703,-0.04775,-0.2222,-0.43643
0.0625,-0.04192,-0.20196,-0.42901
0.0547,-0.03717,-0.18109,-0.41165
0,0,0,0
